specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_450_65_6;450;65;4600;0,013341294;0,081967213
S_450_65_7;450;65;100;0;0
S_450_65_7;450;65;450;0,00041631;0
S_450_65_7;450;65;800;0,001228203;0
S_450_65_7;450;65;1100;0,001657436;0
S_450_65_7;450;65;1400;0,002922478;0
S_450_65_7;450;65;1700;0,00358671;0
S_450_65_7;450;65;2000;0,003563514;0
S_450_65_7;450;65;2300;0,004370688;0
S_450_65_7;450;65;2600;0,006901259;0
S_450_65_7;450;65;2900;0,008191206;0,016393443
S_450_65_7;450;65;3150;0,0084163;0,032786885
S_450_65_7;450;65;3400;0,009850986;0,049180328
S_450_65_7;450;65;3600;0,011610558;0,081967213
S_450_65_7;450;65;3800;0,010419162;0,081967213
S_450_65_7;450;65;4000;0,011930315;0,081967213
S_450_65_7;450;65;4200;0,013335401;0,098360656
S_450_65_7;450;65;4400;0,015723602;0,098360656
S_300_140_7;300;140;100;0,00096961;0
S_300_140_7;300;140;400;0,001883393;0
S_300_140_7;300;140;700;0,003052006;0
S_300_140_7;300;140;1000;0,004115492;0
S_300_140_7;300;140;1250;0,004104497;0
S_300_140_7;300;140;1500;0,005449899;0
S_300_140_7;300;140;1750;0,006771318;0,016233766
S_300_140_7;300;140;2000;0,00797804;0,064935065
S_300_140_7;300;140;2250;0,008748955;0,146103896
S_300_140_7;300;140;2450;0,009667475;0,178571429
S_300_140_7;300;140;2650;0,010725334;0,227272727
S_300_140_7;300;140;2850;0,011459259;0,275974026
S_300_140_7;300;140;3000;0,012251474;0,308441558
S_300_140_7;300;140;3150;0,013115147;0,340909091
S_300_140_7;300;140;3300;0,013786201;0,357142857
S_300_140_7;300;140;3450;0,014895218;0,357142857
S_300_140_7;300;140;3600;0,015974662;0,38961039
S_300_140_7;300;140;???;0,016548483;0,38961039
S_300_140_8;300;140;100;0;0
S_300_140_8;300;140;400;0,002620224;0
S_300_140_8;300;140;700;0,004556103;0
S_300_140_8;300;140;1000;0,005895151;0
S_300_140_8;300;140;1250;0,007051891;0
S_300_140_8;300;140;1500;0,008351944;0
S_300_140_8;300;140;1750;0,009720837;0
S_300_140_8;300;140;2000;0,012373643;0
S_300_140_8;300;140;2250;0,01387157;0,12987013
S_300_140_8;300;140;2450;0,014786188;0,405844156
S_300_140_8;300;140;2650;0,015893817;0,422077922
S_300_140_8;300;140;2850;0,017104979;0,470779221
S_300_140_8;300;140;3000;0,01760631;0,503246753
